Study-Week,Sex,Age Group,Positive (count),Negative (count),Indeterminate (count),dateminobs,datemaxobs
Week 1,Female,5-9,0,11,0,06/04/2020,13/04/2020
Week 1,Female,10-19,0,24,2,06/04/2020,13/04/2020
Week 1,Female,20-49,2,81,0,06/04/2020,13/04/2020
Week 1,Female,50-64,0,43,1,06/04/2020,13/04/2020
Week 1,Female,65+,0,18,0,06/04/2020,13/04/2020
Week 1,Male,5-9,0,5,1,06/04/2020,13/04/2020
Week 1,Male,10-19,0,19,0,06/04/2020,13/04/2020
Week 1,Male,20-49,5,58,1,06/04/2020,13/04/2020
Week 1,Male,50-64,5,49,1,06/04/2020,13/04/2020
Week 1,Male,65+,0,14,1,06/04/2020,13/04/2020
Week 2,Female,5-9,0,7,1,13/04/2020,20/04/2020
Week 2,Female,10-19,3,28,0,13/04/2020,20/04/2020
Week 2,Female,20-49,8,89,0,13/04/2020,20/04/2020
Week 2,Female,50-64,3,71,0,13/04/2020,20/04/2020
Week 2,Female,65+,1,33,0,13/04/2020,20/04/2020
Week 2,Male,5-9,0,8,0,13/04/2020,20/04/2020
Week 2,Male,10-19,1,22,1,13/04/2020,20/04/2020
Week 2,Male,20-49,8,86,3,13/04/2020,20/04/2020
Week 2,Male,50-64,3,60,1,13/04/2020,20/04/2020
Week 2,Male,65+,1,31,0,13/04/2020,20/04/2020
Week 3,Female,5-9,1,7,1,20/04/2020,27/04/2020
Week 3,Female,10-19,7,38,1,20/04/2020,27/04/2020
Week 3,Female,20-49,16,108,1,20/04/2020,27/04/2020
Week 3,Female,50-64,4,87,3,20/04/2020,27/04/2020
Week 3,Female,65+,1,38,1,20/04/2020,27/04/2020
Week 3,Male,5-9,0,13,3,20/04/2020,27/04/2020
Week 3,Male,10-19,3,20,0,20/04/2020,27/04/2020
Week 3,Male,20-49,16,82,4,20/04/2020,27/04/2020
Week 3,Male,50-64,10,78,1,20/04/2020,27/04/2020
Week 3,Male,65+,3,29,1,20/04/2020,27/04/2020
Week 4,Female,5-9,0,12,1,27/04/2020,03/05/2020
Week 4,Female,10-19,4,33,1,27/04/2020,03/05/2020
Week 4,Female,20-49,9,110,2,27/04/2020,03/05/2020
Week 4,Female,50-64,5,94,1,27/04/2020,03/05/2020
Week 4,Female,65+,0,38,1,27/04/2020,03/05/2020
Week 4,Male,5-9,0,14,1,27/04/2020,03/05/2020
Week 4,Male,10-19,1,36,0,27/04/2020,03/05/2020
Week 4,Male,20-49,10,92,2,27/04/2020,03/05/2020
Week 4,Male,50-64,6,82,1,27/04/2020,03/05/2020
Week 4,Male,65+,1,46,1,27/04/2020,03/05/2020
Week 5,Female,5-9,0,20,0,03/05/2020,10/05/2020
Week 5,Female,10-19,1,38,0,03/05/2020,10/05/2020
Week 5,Female,20-49,19,141,2,03/05/2020,10/05/2020
Week 5,Female,50-64,14,108,1,03/05/2020,10/05/2020
Week 5,Female,65+,3,56,0,03/05/2020,10/05/2020
Week 5,Male,5-9,0,17,0,03/05/2020,10/05/2020
Week 5,Male,10-19,12,37,0,03/05/2020,10/05/2020
Week 5,Male,20-49,15,123,3,03/05/2020,10/05/2020
Week 5,Male,50-64,13,100,1,03/05/2020,10/05/2020
Week 5,Male,65+,5,45,1,03/05/2020,10/05/2020