country,study_id,age_low,age_high,region,gender,n_tested,n_positive,seroprevalence_unadjusted,range_sero_low,range_sero_high,seroprevalence_weighted,matching_deaths_data,date_start_survey,date_end_survey,age_breakdown,gender_breakdown,for_regional_analysis,national_summary,ref,notes,
Spain,ESP1,0,999,all,both,61075,,0.05,,,,ecdc,27/04/2020,11/5/20,0,0,0,1,"https://www.mscbs.gob.es/ciudadanos/ene-covid/home.htm, accessed 15/06/2020",,
Spain,ESP2,0,999,all,both,63564,,0.052,,,,ecdc,18/05/2020,1/6/20,0,0,0,1,"https://www.mscbs.gob.es/ciudadanos/ene-covid/home.htm, accessed 15/06/2020",,
Spain,ESP1,0,1,all,both,270,,0.01,,,,deaths.csv,27/04/2020,11/5/20,1,0,0,0,"https://www.mscbs.gob.es/ciudadanos/ene-covid/home.htm, accessed 15/06/2020",,
Spain,ESP1,1,5,all,both,1696,,0.023,,,,deaths.csv,27/04/2020,11/5/20,1,0,0,0,"https://www.mscbs.gob.es/ciudadanos/ene-covid/home.htm, accessed 15/06/2020",,
Spain,ESP1,5,10,all,both,2862,,0.03,,,,deaths.csv,27/04/2020,11/5/20,1,0,0,0,"https://www.mscbs.gob.es/ciudadanos/ene-covid/home.htm, accessed 15/06/2020",,
Spain,ESP1,10,15,all,both,3433,,0.04,,,,deaths.csv,27/04/2020,11/5/20,1,0,0,0,"https://www.mscbs.gob.es/ciudadanos/ene-covid/home.htm, accessed 15/06/2020",,
Spain,ESP1,15,20,all,both,3229,,0.037,,,,deaths.csv,27/04/2020,11/5/20,1,0,0,0,"https://www.mscbs.gob.es/ciudadanos/ene-covid/home.htm, accessed 15/06/2020",,
Spain,ESP1,20,25,all,both,2815,,0.044,,,,deaths.csv,27/04/2020,11/5/20,1,0,0,0,"https://www.mscbs.gob.es/ciudadanos/ene-covid/home.htm, accessed 15/06/2020",,
Spain,ESP1,25,30,all,both,2613,,0.049,,,,deaths.csv,27/04/2020,11/5/20,1,0,0,0,"https://www.mscbs.gob.es/ciudadanos/ene-covid/home.htm, accessed 15/06/2020",,
Spain,ESP1,30,35,all,both,3063,,0.039,,,,deaths.csv,27/04/2020,11/5/20,1,0,0,0,"https://www.mscbs.gob.es/ciudadanos/ene-covid/home.htm, accessed 15/06/2020",,
Spain,ESP1,35,40,all,both,4012,,0.047,,,,deaths.csv,27/04/2020,11/5/20,1,0,0,0,"https://www.mscbs.gob.es/ciudadanos/ene-covid/home.htm, accessed 15/06/2020",,
Spain,ESP1,40,45,all,both,5184,,0.053,,,,deaths.csv,27/04/2020,11/5/20,1,0,0,0,"https://www.mscbs.gob.es/ciudadanos/ene-covid/home.htm, accessed 15/06/2020",,
Spain,ESP1,45,50,all,both,5343,,0.057,,,,deaths.csv,27/04/2020,11/5/20,1,0,0,0,"https://www.mscbs.gob.es/ciudadanos/ene-covid/home.htm, accessed 15/06/2020",,
Spain,ESP1,50,55,all,both,5280,,0.058,,,,deaths.csv,27/04/2020,11/5/20,1,0,0,0,"https://www.mscbs.gob.es/ciudadanos/ene-covid/home.htm, accessed 15/06/2020",,
Spain,ESP1,55,60,all,both,5209,,0.058,,,,deaths.csv,27/04/2020,11/5/20,1,0,0,0,"https://www.mscbs.gob.es/ciudadanos/ene-covid/home.htm, accessed 15/06/2020",,
Spain,ESP1,60,65,all,both,4576,,0.059,,,,deaths.csv,27/04/2020,11/5/20,1,0,0,0,"https://www.mscbs.gob.es/ciudadanos/ene-covid/home.htm, accessed 15/06/2020",,
Spain,ESP1,65,70,all,both,3578,,0.06,,,,deaths.csv,27/04/2020,11/5/20,1,0,0,0,"https://www.mscbs.gob.es/ciudadanos/ene-covid/home.htm, accessed 15/06/2020",,
Spain,ESP1,70,75,all,both,2938,,0.067,,,,deaths.csv,27/04/2020,11/5/20,1,0,0,0,"https://www.mscbs.gob.es/ciudadanos/ene-covid/home.htm, accessed 15/06/2020",,
Spain,ESP1,75,80,all,both,2170,,0.059,,,,deaths.csv,27/04/2020,11/5/20,1,0,0,0,"https://www.mscbs.gob.es/ciudadanos/ene-covid/home.htm, accessed 15/06/2020",,
Spain,ESP1,80,85,all,both,1414,,0.051,,,,deaths.csv,27/04/2020,11/5/20,1,0,0,0,"https://www.mscbs.gob.es/ciudadanos/ene-covid/home.htm, accessed 15/06/2020",,
Spain,ESP1,85,90,all,both,969,,0.059,,,,deaths.csv,27/04/2020,11/5/20,1,0,0,0,"https://www.mscbs.gob.es/ciudadanos/ene-covid/home.htm, accessed 15/06/2020",,
Spain,ESP1,90,999,all,both,421,,0.057,,,,deaths.csv,27/04/2020,11/5/20,1,0,0,0,"https://www.mscbs.gob.es/ciudadanos/ene-covid/home.htm, accessed 15/06/2020",,
Spain,ESP2,0,1,all,both,263,,0.022,,,,deaths.csv,18/05/2020,1/6/20,1,0,0,0,"https://www.mscbs.gob.es/ciudadanos/ene-covid/home.htm, accessed 15/06/2020",,
Spain,ESP2,1,5,all,both,1679,,0.024,,,,deaths.csv,18/05/2020,1/6/20,1,0,0,0,"https://www.mscbs.gob.es/ciudadanos/ene-covid/home.htm, accessed 15/06/2020",,
Spain,ESP2,5,10,all,both,2896,,0.029,,,,deaths.csv,18/05/2020,1/6/20,1,0,0,0,"https://www.mscbs.gob.es/ciudadanos/ene-covid/home.htm, accessed 15/06/2020",,
Spain,ESP2,10,15,all,both,3549,,0.038,,,,deaths.csv,18/05/2020,1/6/20,1,0,0,0,"https://www.mscbs.gob.es/ciudadanos/ene-covid/home.htm, accessed 15/06/2020",,
Spain,ESP2,15,20,all,both,3343,,0.038,,,,deaths.csv,18/05/2020,1/6/20,1,0,0,0,"https://www.mscbs.gob.es/ciudadanos/ene-covid/home.htm, accessed 15/06/2020",,
Spain,ESP2,20,25,all,both,2916,,0.042,,,,deaths.csv,18/05/2020,1/6/20,1,0,0,0,"https://www.mscbs.gob.es/ciudadanos/ene-covid/home.htm, accessed 15/06/2020",,
Spain,ESP2,25,30,all,both,2683,,0.049,,,,deaths.csv,18/05/2020,1/6/20,1,0,0,0,"https://www.mscbs.gob.es/ciudadanos/ene-covid/home.htm, accessed 15/06/2020",,
Spain,ESP2,30,35,all,both,3182,,0.044,,,,deaths.csv,18/05/2020,1/6/20,1,0,0,0,"https://www.mscbs.gob.es/ciudadanos/ene-covid/home.htm, accessed 15/06/2020",,
Spain,ESP2,35,40,all,both,4148,,0.047,,,,deaths.csv,18/05/2020,1/6/20,1,0,0,0,"https://www.mscbs.gob.es/ciudadanos/ene-covid/home.htm, accessed 15/06/2020",,
Spain,ESP2,40,45,all,both,5422,,0.054,,,,deaths.csv,18/05/2020,1/6/20,1,0,0,0,"https://www.mscbs.gob.es/ciudadanos/ene-covid/home.htm, accessed 15/06/2020",,
Spain,ESP2,45,50,all,both,5611,,0.059,,,,deaths.csv,18/05/2020,1/6/20,1,0,0,0,"https://www.mscbs.gob.es/ciudadanos/ene-covid/home.htm, accessed 15/06/2020",,
Spain,ESP2,50,55,all,both,5529,,0.061,,,,deaths.csv,18/05/2020,1/6/20,1,0,0,0,"https://www.mscbs.gob.es/ciudadanos/ene-covid/home.htm, accessed 15/06/2020",,
Spain,ESP2,55,60,all,both,5411,,0.057,,,,deaths.csv,18/05/2020,1/6/20,1,0,0,0,"https://www.mscbs.gob.es/ciudadanos/ene-covid/home.htm, accessed 15/06/2020",,
Spain,ESP2,60,65,all,both,4817,,0.063,,,,deaths.csv,18/05/2020,1/6/20,1,0,0,0,"https://www.mscbs.gob.es/ciudadanos/ene-covid/home.htm, accessed 15/06/2020",,
Spain,ESP2,65,70,all,both,3755,,0.066,,,,deaths.csv,18/05/2020,1/6/20,1,0,0,0,"https://www.mscbs.gob.es/ciudadanos/ene-covid/home.htm, accessed 15/06/2020",,
Spain,ESP2,70,75,all,both,3137,,0.073,,,,deaths.csv,18/05/2020,1/6/20,1,0,0,0,"https://www.mscbs.gob.es/ciudadanos/ene-covid/home.htm, accessed 15/06/2020",,
Spain,ESP2,75,80,all,both,2283,,0.064,,,,deaths.csv,18/05/2020,1/6/20,1,0,0,0,"https://www.mscbs.gob.es/ciudadanos/ene-covid/home.htm, accessed 15/06/2020",,
Spain,ESP2,80,85,all,both,1479,,0.051,,,,deaths.csv,18/05/2020,1/6/20,1,0,0,0,"https://www.mscbs.gob.es/ciudadanos/ene-covid/home.htm, accessed 15/06/2020",,
Spain,ESP2,85,90,all,both,1005,,0.064,,,,deaths.csv,18/05/2020,1/6/20,1,0,0,0,"https://www.mscbs.gob.es/ciudadanos/ene-covid/home.htm, accessed 15/06/2020",,
Spain,ESP2,90,999,all,both,456,,0.08,,,,deaths.csv,18/05/2020,1/6/20,1,0,0,0,"https://www.mscbs.gob.es/ciudadanos/ene-covid/home.htm, accessed 15/06/2020",,
Spain,ESP1,0,999,Andalucia,both,9765,,0.026,,,,deaths.csv,27/04/2020,11/5/20,0,0,1,0,"https://www.mscbs.gob.es/ciudadanos/ene-covid/home.htm, accessed 15/06/2020",,
Spain,ESP1,0,999,Aragon,both,2748,,0.046,,,,deaths.csv,27/04/2020,11/5/20,0,0,1,0,"https://www.mscbs.gob.es/ciudadanos/ene-covid/home.htm, accessed 15/06/2020",,
Spain,ESP1,0,999,Asturias,both,1549,,0.019,,,,deaths.csv,27/04/2020,11/5/20,0,0,1,0,"https://www.mscbs.gob.es/ciudadanos/ene-covid/home.htm, accessed 15/06/2020",,
Spain,ESP1,0,999,Baleares,both,1372,,0.024,,,,deaths.csv,27/04/2020,11/5/20,0,0,1,0,"https://www.mscbs.gob.es/ciudadanos/ene-covid/home.htm, accessed 15/06/2020",,
Spain,ESP1,0,999,Canarias,both,2367,,0.023,,,,deaths.csv,27/04/2020,11/5/20,0,0,1,0,"https://www.mscbs.gob.es/ciudadanos/ene-covid/home.htm, accessed 15/06/2020",,
Spain,ESP1,0,999,Cantabria,both,1504,,0.036,,,,deaths.csv,27/04/2020,11/5/20,0,0,1,0,"https://www.mscbs.gob.es/ciudadanos/ene-covid/home.htm, accessed 15/06/2020",,
Spain,ESP1,0,999,Castilla y Leon,both,6973,,0.07,,,,deaths.csv,27/04/2020,11/5/20,0,0,1,0,"https://www.mscbs.gob.es/ciudadanos/ene-covid/home.htm, accessed 15/06/2020",,
Spain,ESP1,0,999,Castilla La Mancha,both,5067,,0.103,,,,deaths.csv,27/04/2020,11/5/20,0,0,1,0,"https://www.mscbs.gob.es/ciudadanos/ene-covid/home.htm, accessed 15/06/2020",,
Spain,ESP1,0,999,Cataluna,both,6346,,0.058,,,,deaths.csv,27/04/2020,11/5/20,0,0,1,0,"https://www.mscbs.gob.es/ciudadanos/ene-covid/home.htm, accessed 15/06/2020",,
Spain,ESP1,0,999,C Valenciana,both,4292,,0.024,,,,deaths.csv,27/04/2020,11/5/20,0,0,1,0,"https://www.mscbs.gob.es/ciudadanos/ene-covid/home.htm, accessed 15/06/2020",,
Spain,ESP1,0,999,Extremadura,both,2790,,0.028,,,,deaths.csv,27/04/2020,11/5/20,0,0,1,0,"https://www.mscbs.gob.es/ciudadanos/ene-covid/home.htm, accessed 15/06/2020",,
Spain,ESP1,0,999,Galicia,both,4070,,0.021,,,,deaths.csv,27/04/2020,11/5/20,0,0,1,0,"https://www.mscbs.gob.es/ciudadanos/ene-covid/home.htm, accessed 15/06/2020",,
Spain,ESP1,0,999,Madrid,both,3185,,0.113,,,,deaths.csv,27/04/2020,11/5/20,0,0,1,0,"https://www.mscbs.gob.es/ciudadanos/ene-covid/home.htm, accessed 15/06/2020",,
Spain,ESP1,0,999,Murcia,both,1391,,0.014,,,,deaths.csv,27/04/2020,11/5/20,0,0,1,0,"https://www.mscbs.gob.es/ciudadanos/ene-covid/home.htm, accessed 15/06/2020",,
Spain,ESP1,0,999,Navarra,both,1737,,0.058,,,,deaths.csv,27/04/2020,11/5/20,0,0,1,0,"https://www.mscbs.gob.es/ciudadanos/ene-covid/home.htm, accessed 15/06/2020",,
Spain,ESP1,0,999,Pais Vasco,both,2832,,0.04,,,,deaths.csv,27/04/2020,11/5/20,0,0,1,0,"https://www.mscbs.gob.es/ciudadanos/ene-covid/home.htm, accessed 15/06/2020",,
Spain,ESP1,0,999,La Rioja,both,1324,,0.034,,,,deaths.csv,27/04/2020,11/5/20,0,0,1,0,"https://www.mscbs.gob.es/ciudadanos/ene-covid/home.htm, accessed 15/06/2020",,
Spain,ESP1,0,999,Ceuta,both,836,,0.011,,,,deaths.csv,27/04/2020,11/5/20,0,0,0,0,"https://www.mscbs.gob.es/ciudadanos/ene-covid/home.htm, accessed 15/06/2020",,
Spain,ESP1,0,999,Melilla,both,927,,0.018,,,,deaths.csv,27/04/2020,11/5/20,0,0,0,0,"https://www.mscbs.gob.es/ciudadanos/ene-covid/home.htm, accessed 15/06/2020",,
Spain,ESP2,0,999,Andalucia,both,9801,,0.029,,,,deaths.csv,18/05/2020,1/6/20,0,0,1,0,"https://www.mscbs.gob.es/ciudadanos/ene-covid/home.htm, accessed 15/06/2020",,
Spain,ESP2,0,999,Aragon,both,2678,,0.049,,,,deaths.csv,18/05/2020,1/6/20,0,0,1,0,"https://www.mscbs.gob.es/ciudadanos/ene-covid/home.htm, accessed 15/06/2020",,
Spain,ESP2,0,999,Asturias,both,1711,,0.016,,,,deaths.csv,18/05/2020,1/6/20,0,0,1,0,"https://www.mscbs.gob.es/ciudadanos/ene-covid/home.htm, accessed 15/06/2020",,
Spain,ESP2,0,999,Baleares,both,1327,,0.015,,,,deaths.csv,18/05/2020,1/6/20,0,0,1,0,"https://www.mscbs.gob.es/ciudadanos/ene-covid/home.htm, accessed 15/06/2020",,
Spain,ESP2,0,999,Canarias,both,2691,,0.027,,,,deaths.csv,18/05/2020,1/6/20,0,0,1,0,"https://www.mscbs.gob.es/ciudadanos/ene-covid/home.htm, accessed 15/06/2020",,
Spain,ESP2,0,999,Cantabria,both,1660,,0.032,,,,deaths.csv,18/05/2020,1/6/20,0,0,1,0,"https://www.mscbs.gob.es/ciudadanos/ene-covid/home.htm, accessed 15/06/2020",,
Spain,ESP2,0,999,Castilla y Leon,both,7312,,0.075,,,,deaths.csv,18/05/2020,1/6/20,0,0,1,0,"https://www.mscbs.gob.es/ciudadanos/ene-covid/home.htm, accessed 15/06/2020",,
Spain,ESP2,0,999,Castilla La Mancha,both,5177,,0.103,,,,deaths.csv,18/05/2020,1/6/20,0,0,1,0,"https://www.mscbs.gob.es/ciudadanos/ene-covid/home.htm, accessed 15/06/2020",,
Spain,ESP2,0,999,Cataluna,both,6616,,0.061,,,,deaths.csv,18/05/2020,1/6/20,0,0,1,0,"https://www.mscbs.gob.es/ciudadanos/ene-covid/home.htm, accessed 15/06/2020",,
Spain,ESP2,0,999,C Valenciana,both,4538,,0.027,,,,deaths.csv,18/05/2020,1/6/20,0,0,1,0,"https://www.mscbs.gob.es/ciudadanos/ene-covid/home.htm, accessed 15/06/2020",,
Spain,ESP2,0,999,Extremadura,both,2790,,0.033,,,,deaths.csv,18/05/2020,1/6/20,0,0,1,0,"https://www.mscbs.gob.es/ciudadanos/ene-covid/home.htm, accessed 15/06/2020",,
Spain,ESP2,0,999,Galicia,both,3998,,0.022,,,,deaths.csv,18/05/2020,1/6/20,0,0,1,0,"https://www.mscbs.gob.es/ciudadanos/ene-covid/home.htm, accessed 15/06/2020",,
Spain,ESP2,0,999,Madrid,both,3703,,0.114,,,,deaths.csv,18/05/2020,1/6/20,0,0,1,0,"https://www.mscbs.gob.es/ciudadanos/ene-covid/home.htm, accessed 15/06/2020",,
Spain,ESP2,0,999,Murcia,both,1582,,0.016,,,,deaths.csv,18/05/2020,1/6/20,0,0,1,0,"https://www.mscbs.gob.es/ciudadanos/ene-covid/home.htm, accessed 15/06/2020",,
Spain,ESP2,0,999,Navarra,both,1755,,0.064,,,,deaths.csv,18/05/2020,1/6/20,0,0,1,0,"https://www.mscbs.gob.es/ciudadanos/ene-covid/home.htm, accessed 15/06/2020",,
Spain,ESP2,0,999,Pais Vasco,both,2995,,0.037,,,,deaths.csv,18/05/2020,1/6/20,0,0,1,0,"https://www.mscbs.gob.es/ciudadanos/ene-covid/home.htm, accessed 15/06/2020",,
Spain,ESP2,0,999,La Rioja,both,1401,,0.039,,,,deaths.csv,18/05/2020,1/6/20,0,0,1,0,"https://www.mscbs.gob.es/ciudadanos/ene-covid/home.htm, accessed 15/06/2020",,
Spain,ESP2,0,999,Ceuta,both,904,,0.005,,,,deaths.csv,18/05/2020,1/6/20,0,0,0,0,"https://www.mscbs.gob.es/ciudadanos/ene-covid/home.htm, accessed 15/06/2020",,
Spain,ESP2,0,999,Melilla,both,925,,0.032,,,,deaths.csv,18/05/2020,1/6/20,0,0,0,0,"https://www.mscbs.gob.es/ciudadanos/ene-covid/home.htm, accessed 15/06/2020",,
Spain,ESP1,0,999,Andalucia,male,4607,,0.027,,,,deaths.csv,27/04/2020,11/5/20,0,1,0,0,"https://www.mscbs.gob.es/ciudadanos/ene-covid/home.htm, accessed 15/06/2020",,
Spain,ESP1,0,999,Aragon,male,1322,,0.051,,,,deaths.csv,27/04/2020,11/5/20,0,1,0,0,"https://www.mscbs.gob.es/ciudadanos/ene-covid/home.htm, accessed 15/06/2020",,
Spain,ESP1,0,999,Asturias,male,713,,0.019,,,,deaths.csv,27/04/2020,11/5/20,0,1,0,0,"https://www.mscbs.gob.es/ciudadanos/ene-covid/home.htm, accessed 15/06/2020",,
Spain,ESP1,0,999,Baleares,male,653,,0.019,,,,deaths.csv,27/04/2020,11/5/20,0,1,0,0,"https://www.mscbs.gob.es/ciudadanos/ene-covid/home.htm, accessed 15/06/2020",,
Spain,ESP1,0,999,Canarias,male,1077,,0.02,,,,deaths.csv,27/04/2020,11/5/20,0,1,0,0,"https://www.mscbs.gob.es/ciudadanos/ene-covid/home.htm, accessed 15/06/2020",,
Spain,ESP1,0,999,Cantabria,male,731,,0.023,,,,deaths.csv,27/04/2020,11/5/20,0,1,0,0,"https://www.mscbs.gob.es/ciudadanos/ene-covid/home.htm, accessed 15/06/2020",,
Spain,ESP1,0,999,Castilla y Leon,male,3389,,0.066,,,,deaths.csv,27/04/2020,11/5/20,0,1,0,0,"https://www.mscbs.gob.es/ciudadanos/ene-covid/home.htm, accessed 15/06/2020",,
Spain,ESP1,0,999,Castilla La Mancha,male,2485,,0.099,,,,deaths.csv,27/04/2020,11/5/20,0,1,0,0,"https://www.mscbs.gob.es/ciudadanos/ene-covid/home.htm, accessed 15/06/2020",,
Spain,ESP1,0,999,Cataluna,male,3018,,0.06,,,,deaths.csv,27/04/2020,11/5/20,0,1,0,0,"https://www.mscbs.gob.es/ciudadanos/ene-covid/home.htm, accessed 15/06/2020",,
Spain,ESP1,0,999,C Valenciana,male,2064,,0.028,,,,deaths.csv,27/04/2020,11/5/20,0,1,0,0,"https://www.mscbs.gob.es/ciudadanos/ene-covid/home.htm, accessed 15/06/2020",,
Spain,ESP1,0,999,Extremadura,male,1389,,0.028,,,,deaths.csv,27/04/2020,11/5/20,0,1,0,0,"https://www.mscbs.gob.es/ciudadanos/ene-covid/home.htm, accessed 15/06/2020",,
Spain,ESP1,0,999,Galicia,male,1902,,0.021,,,,deaths.csv,27/04/2020,11/5/20,0,1,0,0,"https://www.mscbs.gob.es/ciudadanos/ene-covid/home.htm, accessed 15/06/2020",,
Spain,ESP1,0,999,Madrid,male,1547,,0.113,,,,deaths.csv,27/04/2020,11/5/20,0,1,0,0,"https://www.mscbs.gob.es/ciudadanos/ene-covid/home.htm, accessed 15/06/2020",,
Spain,ESP1,0,999,Murcia,male,651,,0.013,,,,deaths.csv,27/04/2020,11/5/20,0,1,0,0,"https://www.mscbs.gob.es/ciudadanos/ene-covid/home.htm, accessed 15/06/2020",,
Spain,ESP1,0,999,Navarra,male,875,,0.06,,,,deaths.csv,27/04/2020,11/5/20,0,1,0,0,"https://www.mscbs.gob.es/ciudadanos/ene-covid/home.htm, accessed 15/06/2020",,
Spain,ESP1,0,999,Pais Vasco,male,1379,,0.037,,,,deaths.csv,27/04/2020,11/5/20,0,1,0,0,"https://www.mscbs.gob.es/ciudadanos/ene-covid/home.htm, accessed 15/06/2020",,
Spain,ESP1,0,999,La Rioja,male,642,,0.034,,,,deaths.csv,27/04/2020,11/5/20,0,1,0,0,"https://www.mscbs.gob.es/ciudadanos/ene-covid/home.htm, accessed 15/06/2020",,
Spain,ESP1,0,999,Ceuta,male,376,,0.013,,,,deaths.csv,27/04/2020,11/5/20,0,1,0,0,"https://www.mscbs.gob.es/ciudadanos/ene-covid/home.htm, accessed 15/06/2020",,
Spain,ESP1,0,999,Melilla,male,435,,0.016,,,,deaths.csv,27/04/2020,11/5/20,0,1,0,0,"https://www.mscbs.gob.es/ciudadanos/ene-covid/home.htm, accessed 15/06/2020",,
Spain,ESP1,0,999,Andalucia,female,5119,,0.026,,,,deaths.csv,27/04/2020,11/5/20,0,1,0,0,"https://www.mscbs.gob.es/ciudadanos/ene-covid/home.htm, accessed 15/06/2020",,
Spain,ESP1,0,999,Aragon,female,1426,,0.048,,,,deaths.csv,27/04/2020,11/5/20,0,1,0,0,"https://www.mscbs.gob.es/ciudadanos/ene-covid/home.htm, accessed 15/06/2020",,
Spain,ESP1,0,999,Asturias,female,832,,0.017,,,,deaths.csv,27/04/2020,11/5/20,0,1,0,0,"https://www.mscbs.gob.es/ciudadanos/ene-covid/home.htm, accessed 15/06/2020",,
Spain,ESP1,0,999,Baleares,female,703,,0.028,,,,deaths.csv,27/04/2020,11/5/20,0,1,0,0,"https://www.mscbs.gob.es/ciudadanos/ene-covid/home.htm, accessed 15/06/2020",,
Spain,ESP1,0,999,Canarias,female,1247,,0.015,,,,deaths.csv,27/04/2020,11/5/20,0,1,0,0,"https://www.mscbs.gob.es/ciudadanos/ene-covid/home.htm, accessed 15/06/2020",,
Spain,ESP1,0,999,Cantabria,female,773,,0.04,,,,deaths.csv,27/04/2020,11/5/20,0,1,0,0,"https://www.mscbs.gob.es/ciudadanos/ene-covid/home.htm, accessed 15/06/2020",,
Spain,ESP1,0,999,Castilla y Leon,female,3560,,0.077,,,,deaths.csv,27/04/2020,11/5/20,0,1,0,0,"https://www.mscbs.gob.es/ciudadanos/ene-covid/home.htm, accessed 15/06/2020",,
Spain,ESP1,0,999,Castilla La Mancha,female,2581,,0.117,,,,deaths.csv,27/04/2020,11/5/20,0,1,0,0,"https://www.mscbs.gob.es/ciudadanos/ene-covid/home.htm, accessed 15/06/2020",,
Spain,ESP1,0,999,Cataluna,female,3300,,0.057,,,,deaths.csv,27/04/2020,11/5/20,0,1,0,0,"https://www.mscbs.gob.es/ciudadanos/ene-covid/home.htm, accessed 15/06/2020",,
Spain,ESP1,0,999,C Valenciana,female,2222,,0.022,,,,deaths.csv,27/04/2020,11/5/20,0,1,0,0,"https://www.mscbs.gob.es/ciudadanos/ene-covid/home.htm, accessed 15/06/2020",,
Spain,ESP1,0,999,Extremadura,female,1398,,0.032,,,,deaths.csv,27/04/2020,11/5/20,0,1,0,0,"https://www.mscbs.gob.es/ciudadanos/ene-covid/home.htm, accessed 15/06/2020",,
Spain,ESP1,0,999,Galicia,female,2168,,0.022,,,,deaths.csv,27/04/2020,11/5/20,0,1,0,0,"https://www.mscbs.gob.es/ciudadanos/ene-covid/home.htm, accessed 15/06/2020",,
